PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
2840,98117,Baker Park on Crown Hill,20,4 a.m. - 11:30 p.m.,Pesticide Free
2840,98117,Baker Park on Crown Hill,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
4278,98107,Ballard Commons Park,28,4 a.m. - 11:30 p.m.,Skatepark
4278,98107,Ballard Commons Park,35,4 a.m. - 11:30 p.m.,Wading Pool or Water Feature
4428,98107,Ballard Corners Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
1000342,98119,Bayview-Kinnear (Lower Kerry Park),41,6 a.m. - 10 p.m.,Play Area (ADA Compliant)
440,98118,Beer Sheva Park,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
440,98118,Beer Sheva Park,20,4 a.m. - 11:30 p.m.,Pesticide Free
440,98118,Beer Sheva Park,21,4 a.m. - 11:30 p.m.,Picnic Sites
440,98118,Beer Sheva Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
440,98118,Beer Sheva Park,27,4 a.m. - 11:30 p.m.,Restrooms
440,98118,Beer Sheva Park,34,4 a.m. - 11:30 p.m.,View
440,98118,Beer Sheva Park,36,4 a.m. - 11:30 p.m.,Waterfront
4022,98102,Bellevue Place,33,4 a.m. - 11:30 p.m.,Paths
4022,98102,Bellevue Place,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
4415,98121,Belltown Cottage Park,18,4 a.m. - 11:30 p.m.,Historic Landmark
4415,98121,Belltown Cottage Park,25,4 a.m. - 11:30 p.m.,P-Patch Community Garden
447,98126,Belvedere Park,34,4 a.m. - 11:30 p.m.,View
447,98126,Belvedere Park,9,4 a.m. - 11:30 p.m.,Weddings and Ceremonies
475,98105,Belvoir Place,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
475,98105,Belvoir Place,20,4 a.m. - 11:30 p.m.,Pesticide Free
475,98105,Belvoir Place,34,4 a.m. - 11:30 p.m.,View
475,98105,Belvoir Place,36,4 a.m. - 11:30 p.m.,Waterfront
304,98109,Bhy Kracke Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
304,98109,Bhy Kracke Park,34,4 a.m. - 11:30 p.m.,View
304,98109,Bhy Kracke Park,9,4 a.m. - 11:30 p.m.,Weddings and Ceremonies
4450,98133,Bitter Lake Reservoir Open Space,74,4 a.m. - 11:30 p.m.,Adult Fitness Equipment
4450,98133,Bitter Lake Reservoir Open Space,33,4 a.m. - 11:30 p.m.,Paths
4450,98133,Bitter Lake Reservoir Open Space,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
4450,98133,Bitter Lake Reservoir Open Space,25,4 a.m. - 11:30 p.m.,P-Patch Community Garden
4418,98144,Blue Dog Pond,12,4 a.m. - 11:30 p.m.,Dog Off Leash Area
362,98112,Boren Park,33,4 a.m. - 11:30 p.m.,Paths
362,98112,Boren Park,9,4 a.m. - 11:30 p.m.,Weddings and Ceremonies
362,98112,Boren Park,37,4 a.m. - 11:30 p.m.,Woods
401,98144,Bradner Gardens Park,64,4 a.m. - 11:30 p.m.,Community Building
401,98144,Bradner Gardens Park,17,4 a.m. - 11:30 p.m.,Garden
401,98144,Bradner Gardens Park,20,4 a.m. - 11:30 p.m.,Pesticide Free
401,98144,Bradner Gardens Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
401,98144,Bradner Gardens Park,25,4 a.m. - 11:30 p.m.,P-Patch Community Garden
401,98144,Bradner Gardens Park,27,4 a.m. - 11:30 p.m.,Restrooms
401,98144,Bradner Gardens Park,40,4 a.m. - 11:30 p.m.,Restrooms (ADA Compliant)
401,98144,Bradner Gardens Park,34,4 a.m. - 11:30 p.m.,View
3102,98122,Cal Anderson Park and Bobby Morris Playfield,45,4 a.m. - 11:30 p.m.,Baseball/Softball
405,98144,Colman Park,36,6 a.m. - 10 p.m.,Waterfront
3102,98122,Cal Anderson Park and Bobby Morris Playfield,18,4 a.m. - 11:30 p.m.,Historic Landmark
3102,98122,Cal Anderson Park and Bobby Morris Playfield,33,4 a.m. - 11:30 p.m.,Paths
3102,98122,Cal Anderson Park and Bobby Morris Playfield,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
3102,98122,Cal Anderson Park and Bobby Morris Playfield,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
3102,98122,Cal Anderson Park and Bobby Morris Playfield,26,4 a.m. - 11:30 p.m.,Rental Facility
3102,98122,Cal Anderson Park and Bobby Morris Playfield,27,4 a.m. - 11:30 p.m.,Restrooms
3102,98122,Cal Anderson Park and Bobby Morris Playfield,44,4 a.m. - 11:30 p.m.,Soccer
3102,98122,Cal Anderson Park and Bobby Morris Playfield,29,4 a.m. - 11:30 p.m.,Tennis Court (Outdoor)
3102,98122,Cal Anderson Park and Bobby Morris Playfield,31,4 a.m. - 11:30 p.m.,Tennis Lights
3102,98122,Cal Anderson Park and Bobby Morris Playfield,35,4 a.m. - 11:30 p.m.,Wading Pool or Water Feature
4154,98126,Camp Long,13,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Environmental Learning Center
4154,98126,Camp Long,58,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Hiking Trails
4154,98126,Camp Long,33,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Paths
4154,98126,Camp Long,42,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Paths (ADA Compliant)
4154,98126,Camp Long,26,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Rental Facility
4469,98117,Crown Hill Park,65,4 a.m. - 11:30 p.m.,U-8 Soccer
4154,98126,Camp Long,27,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Restrooms
4154,98126,Camp Long,40,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Restrooms (ADA Compliant)
4154,98126,Camp Long,9,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Weddings and Ceremonies
4154,98126,Camp Long,37,"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",Woods
240,98117,Carkeek Park,7,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Boat Launch (Hand Carry)
240,98117,Carkeek Park,11,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Creek
240,98117,Carkeek Park,13,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Environmental Learning Center
240,98117,Carkeek Park,58,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Hiking Trails
240,98117,Carkeek Park,33,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Paths
240,98117,Carkeek Park,21,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Picnic Sites
240,98117,Carkeek Park,39,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Picnic Sites (ADA Compliant)
240,98117,Carkeek Park,41,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",Play Area (ADA Compliant)
